1001,apron,5,裁縫師(tailor),Cutting Table IV,650,cloak:2;raw leather:4;,快速,布甲(clothes),evoker's robe x 48 → apron,apronx60→monk cloak
1002,basic tunic,1,裁縫師(tailor),cutting table i,90,raw leather:4;,快速,布甲(clothes),sandals x 12 → basic tunic,basic tunic x 20 → cloak
1003,beast attire,9,裁縫師(tailor),good cutting table iii,3400,fabric:8;dyes:5;glass:4;,中,布甲(clothes),rich cloak x 48 → beast attire,beast attire x 68 → lord's robe
1004,cleric's robe,11,店長(shopkeeper),spacious table v,4600,fabric:8;dyes:8;glass:2;,超長,布甲(clothes),成就：sewing 2(獲得15個裁縫師配方),cloak x 16 → treated cloak;cloak x 32 → leather coat
1005,cloak,2,裁縫師(tailor),cutting table ii,170,fabric:2;raw leather:2;,快速,布甲(clothes),basic tunic x 20 → cloak,cloak x 16 → treated cloak;cloak x 32 → leather coat
1006,cloak of concealment,8,裁縫師(tailor),good cutting table ii,16000,rich cloak:1;phoenix feather:1;,長,布甲(clothes),rich cloak x 32 → cloak of concealment,cosmic apparel x112 → vest of lies;cosmic apparel
1007,conjurer's robe,4,裁縫師(tailor),cutting table iii,3800,dyes:1;fabric:4;faery's tear:1;,長,布甲(clothes),evoker's robe x 24 → conjurer's robe;conjurer's robe,cosmic apparel x112 → vest of lies;cosmic apparel
1008,cosmic apparel,16,裁縫師(tailor),fine cutting table iv,29000,*rich cloak:2;crystals:5;fabric+:6;gems:4;dyes:8;,快速,布甲(clothes),elemental wonder x100 → cosmic apparel,cosmic apparel x112 → vest of lies
1009,elemental wonder,15,裁縫師(tailor),fine cutting table iii,22000,*evoker's robe:2;*elemental pendant:1;dyes:6;gems:4;fabric:7;,長,布甲(clothes),sky mantle x88 → elemental wonder,elemental wonder x100 → cosmic apparel
1010,evoker's robe,4,裁縫師(tailor),cutting table iii,495,dyes:1;fabric:4;,中,布甲(clothes),leather coat x 40 → evoker's robe,evoker's robe x 24 → conjurer's robe;evoker's robe x 48 → apron
1011,grandmaster's robe,18,裁縫師(tailor),fine cutting table v,340000,*evoker's robe:5;crystals:10;fabric+:15;gems:10;dyes:10;golden silk:2;,快速,布甲(clothes),成就：craftsman 5(製作100;000物品);grandmaster's robe,guideon robe x32 → invisibility robe;guideon robe x48 → ifrit's flaming apparel;guideon robe x80 → sky mantle;guideon robe
1012,guideon robe,11,裁縫師(tailor),good cutting table v,20000,*cleric's robe:2;fabric:4;dyes:6;mithril lumps:2;gems:2;glass:4;,短,布甲(clothes),*lord's robe x68 → guideon robe,guideon robe x32 → invisibility robe;guideon robe x48 → ifrit's flaming apparel;guideon robe x80 → sky mantle
1013,ifrit's flaming apparel,13,裁縫師(tailor),fine cutting table i,210000,evoker's robe:3;golden silk:2;fireball scroll:5;mithril lumps:4;gems:4;dyes:8;,短,布甲(clothes),guideon robe x48 → ifrit's flaming apparel;ifrit's flaming apparel,0
1014,invisibility robe,16,附魔師(enchanter),mystical cauldron v,280000,cloak of concealment:1;moon stone:2;,超長,布甲(clothes),guideon robe x32 → invisibility robe;invisibility robe,0
1015,leather coat,3,裁縫師(tailor),cutting table iii,310,raw leather:3;fabric:3;,快速,布甲(clothes),cloak x 32 → leather coat,leather coat x 40 → evoker's robe
1016,lord of darkness,19,裁縫師(tailor),fine cutting table v,300000,lord's robe:3;beast attire:10;amulet of darkness:2;demon horn:2;fabric:15;gems:12;,長,布甲(clothes),vest of lies x144 → lord of darkness;lord of darkness,lord's robe x 68 → guideon robe
